game,res,league,howmany,scores
Barcelona v PSG                              ,0 ,euc,    42,2-1:1-1:1-0:2-2:3-2
RB Leipzig v Liverpool                       ,X ,euc,    41,1-1:2-1:1-2:0-1:1-3:0-2:1-0:2-0
FC Porto v Juventus                          ,X ,euc,    41,1-2:1-0:1-1:1-3:0-2:0-1:2-1:2-2
Sevilla v B Dortmund                         ,X ,euc,    41,1-1:1-0:2-1:2-0:0-2:1-3:0-0:0-1
Atl Madrid v Chelsea                         ,10,euc,    41,2-1:1-0:2-0:1-1:1-2:2-2
Lazio v Bayern Munich                        ,21,euc,    41,0-2:1-2:0-1:1-3:0-3:1-1:2-1
Atalanta v Real Madrid                       ,X ,euc,    41,1-2:1-1:2-1:2-2:1-0:0-2:2-0
B Mgladbach v Man City                       ,1 ,euc,    41,1-2:0-2:1-1:1-0:1-3:2-1:2-2:0-3:2-0
B Dortmund v Sevilla                         ,10,euc,    32,2-1:2-0:1-0:1-1:3-1
Juventus v FC Porto                          ,10,euc,    31,2-0:1-0:3-0:3-1:0-1:1-1:2-1:2-2
Liverpool v RB Leipzig                       ,0 ,euc,    31,3-1:2-1:2-0:1-0:2-2:1-1
PSG v Barcelona                              ,1 ,euc,    31,2-1:1-2:2-0:3-1:1-0
Man City v B Mgladbach                       ,10,euc,    31,2-0:1-1:3-1:3-0:2-1:1-0:1-2
Real Madrid v Atalanta                       ,10,euc,    31,2-0:2-1:1-1:3-1:1-2
Bayern Munich v Lazio                        ,10,euc,    31,3-0:2-0:3-1:1-0:1-1
Chelsea v Atl Madrid                         ,0 ,euc,    31,1-1:2-1:2-0:0-0:0-2
Dynamo Kyiv v Club Bruges                    ,X ,eue,    25,1-1:2-0:1-0:2-1:1-2:0-2:3-0
FK Krasnodar v Dinamo Zagreb                 ,X ,eue,    25,0-1:1-1:2-0:1-0:2-1:0-2:1-2:1-3:2-2:3-0
Olympiakos v PSV Eindhoven                   ,X ,eue,    25,1-1:2-1:1-0:0-1:1-2:2-2:0-0:1-3:2-0:4-1:5-3
Real Sociedad v Man Utd                      ,X ,eue,    25,2-1:1-2:0-1:1-1:2-0:2-2:0-0:1-3:3-0
Red Star Belgrade v AC Milan                 ,2 ,eue,    25,0-2:1-1:1-2:0-1:0-3:1-0:2-1:2-2:3-1
RZ Pellets WAC v Tottenham                   ,21,eue,    25,0-2:1-3:0-1:0-3:1-2:0-0:0-4:1-4:2-1:2-2
Slavia Prague v Leicester                    ,X ,eue,    25,1-2:1-0:1-1:1-3:0-1:0-2:2-0:2-1
Sporting Braga v Roma                        ,X ,eue,    24,1-2:1-1:2-1:0-1:2-2:0-0:0-2:1-0:2-0:2-5
Young Boys v B Leverkusen                    ,X ,eue,    24,1-2:0-1:1-1:1-0:2-0:2-1:0-2:0-3:1-3
Benfica v Arsenal                            ,X ,eue,    24,2-1:0-1:2-0:1-1:0-0:0-2:1-0:1-2:1-3:2-2:3-0:3-1
Granada v Napoli                             ,X ,eue,    24,1-2:1-1:0-2:2-1:1-0:0-1:2-0:2-2:2-3
Lille v Ajax                                 ,X ,eue,    23,1-1:0-1:2-2:0-2:1-2:2-0:2-1:1-0:3-2
Maccabi Tel-Aviv v Shakhtar Donetsk          ,X ,eue,    23,1-2:0-2:1-0:1-1:0-0:2-1:2-2:1-3:1-4:2-0
Molde v Hoffenheim                           ,X ,eue,    23,1-2:0-2:0-1:0-0:1-1:2-1:1-0:1-3:2-0
RB Salzburg v Villarreal                     ,X ,eue,    23,1-1:1-2:2-1:0-0:0-1:1-0:2-0:0-2:2-2
