game,res,league,howmany,scores
Birmingham v Blackpool,X,en2,506,2-1:1-1:2-0:1-0:3-1:0-1:0-2:1-2:2-2
Bristol City v Rotherham,0,en2,507,2-1:1-1:2-0:1-0:0-1:0-2:1-2:3-1
Burnley v QPR,10,en2,508,2-0:3-0:1-1:2-1:3-1:4-0:1-0:0-0
Cardiff v Stoke,X,en2,509,1-1:1-2:2-1:1-0:0-0:0-2:0-1:2-0:2-2
Coventry v Reading,X,en2,510,1-1:2-0:2-1:1-2:1-0:0-0:3-0:1-3:2-2:3-1
Hull v Watford,X,en2,512,1-1:2-1:1-2:0-0:2-0:0-3:2-2
Norwich v Swansea,X,en2,514,2-0:2-1:1-1:3-1:0-0:0-1:1-0:2-2:0-2:0-3:1-2
Wigan v Millwall,X,en2,517,1-1:1-2:1-0:0-2:1-3:0-1:0-0:2-0:2-1
Preston v Blackburn,X,en2,515,1-2:1-1:2-1:2-2:2-0:0-0:0-1:1-0
West Brom v Sunderland,X,en2,516,2-1:1-1:2-0:1-0:1-2:0-0:3-1:0-1:0-2
Luton v Middlesbrough,X,en2,513,1-1:1-2:1-3:2-2:2-1:0-0:0-1:2-0:2-3:0-2
Blackburn v Burnley,2,en2,434,1-2:1-1:2-1:2-2:0-1:0-2:2-3:0-0:1-0:1-3
Sheff Utd v West Brom,0,en2,441,2-1:2-0:1-1:1-0:2-2:1-2:0-0:3-1
Arsenal v Southampton,10,en,311,3-0:2-0:3-1:4-0:2-1:4-1
Fulham v Leeds,0,en,316,2-1:2-0:1-1:1-0:1-2:3-1:0-1
Brentford v Aston Villa,X,en,313,1-2:1-1:2-1:2-2:1-3:0-1:0-2:1-0
Crystal Palace v Everton,0,en,315,2-1:2-0:1-1:1-0:3-1:0-1:1-2:3-0
Leicester v Wolves,X,en,317,1-1:1-2:2-1:0-1:1-0:0-2:2-2:0-0:2-0
Liverpool v Nottm Forest,10,en,318,3-0:2-0:4-0:3-1:2-1:4-1
Man Utd v Chelsea,10,en,319,2-1:2-0:1-1:3-1:2-2:1-0
Bournemouth v West Ham,X,en,312,1-1:2-1:1-2:2-2:0-1:1-0:0-2
