game,res,league,howmany,scores
Huddersfield v Peterborough,10,en2,424,2-0:3-0:2-1:1-0:1-1:3-1
Sheff Utd v Nottm Forest,0,en2,430,1-1:2-1:1-0:1-2:0-1:0-2
Fulham v Blackburn,10,en2,423,2-1:2-0:3-1:1-0:3-0:1-1:1-2
Bristol City v Birmingham,X,en2,421,1-1:2-1:1-0:1-2:0-1:2-0
Derby v Barnsley,0,en2,422,2-1:2-0:1-0:1-1:1-2:0-1:3-1
Hull v West Brom,X,en2,425,1-1:2-1:1-2:1-0:0-2:0-1:0-0:2-0
Middlesbrough v Luton,0,en2,426,2-1:1-1:2-0:1-0:1-2:2-2:0-1:3-1
Preston v Bournemouth,2,en2,427,1-2:1-1:0-1:0-2:1-3:1-0:2-1:2-0
QPR v Cardiff,10,en2,428,2-1:2-0:1-0:1-1:3-1
Reading v Millwall,X,en2,429,1-1:1-2:0-1:2-1:1-0:0-2:2-0:0-0
Stoke v Blackpool,0,en2,431,2-1:1-1:2-0:1-0:0-1:2-2:1-2:3-1
Swansea v Coventry,X,en2,432,2-1:1-1:1-2:2-0:1-0:0-1:2-2
Barnsley v Stoke,X,en2,277,1-2:1-1:0-1:0-2:2-1:1-0:1-3
Blackburn v Millwall,10,en2,385,2-1:2-0:1-0:1-1:3-1
Bournemouth v Peterborough,10,en2,304,2-0:3-0:2-1:3-1:1-0:0-0:1-1:4-0
Coventry v Luton,X,en2,306,2-1:1-1:1-0:2-0:1-2:2-2:0-1
Sheff Utd v Middlesbrough,X,en2,309,2-1:1-1:1-2:1-0:2-0:2-2:0-0
Swansea v Fulham,2,en2,311,1-2:1-1:1-3:0-2:0-0:0-1:0-3:1-0:2-1:2-2
Norwich v Chelsea,21,en,297,0-3:0-2:1-3:1-2:0-4:0-1
Southampton v Newcastle,X,en,209,2-1:1-1:2-0:1-0:1-2:2-2:0-1
Wolves v Watford,0,en,190,2-1:1-0:2-0:1-1
Leeds v Aston Villa,X,en,196,1-2:1-1:2-1:2-2:0-2:0-1:1-3:1-0
Brighton v Liverpool,21,en,283,0-2:1-2:1-3:0-3:0-1:1-1
Brentford v Burnley,X,en,282,1-1:2-1:1-0:1-2:2-0:0-1:0-0
Man Utd v Tottenham,X,en,288,2-1:1-1:1-2:2-2:2-0:1-0
Chelsea v Newcastle,10,en,284,2-0:2-1:3-0:3-1:1-0:1-1
Everton v Wolves,X,en,286,1-1:1-0:2-1:1-2:0-1:2-0:0-2
Leeds v Norwich,0,en,287,2-0:2-1:1-0:1-1:3-1:1-2
Southampton v Watford,10,en,289,2-0:2-1:1-0:1-1:3-1
West Ham v Aston Villa,0,en,290,2-1:1-1:1-0:2-2:2-0:1-2:3-1
Arsenal v Leicester,0,en,281,2-1:2-0:1-1:2-2:1-0:3-1:1-2
Crystal Palace v Man City,21,en,285,1-3:0-2:1-2:0-3:1-1:1-4:0-1:0-4
Crystal Palace v Everton,1,enf,206,2-1:1-2:1-0:0-1:1-1:2-0:3-0:3-1
Middlesbrough v Chelsea,21,enf,207,1-2:0-2:1-3:0-1:2-1:0-3:1-0:2-0:2-3
Southampton v Man City,1,enf,208,1-2:0-2:1-3:0-1:1-0:2-1:0-3:1-1:1-4:2-0:2-3:2-4
TBC v Liverpool,21,enf,209,0-2:1-3:1-2:0-3:0-1:0-4:1-0:1-4:2-0:2-1
Lille v Saint-Étienne,0,fr,274,2-1:1-1:2-0:1-0:0-0:3-1:0-1:0-2:1-2
Montpellier v Nice,X,fr,277,1-1:1-2:0-1:2-1:0-0:1-0:2-0:0-2
Troyes v Nantes,X,fr,280,1-1:1-2:2-1:1-0:0-0:0-2:1-3:0-1
PSG v Bordeaux,10,fr,278,2-0:3-1:1-0:2-1:3-0:1-1:0-0:3-2:4-1:4-2:5-1:6-0
Angers v Reims,X,fr,271,1-1:0-0:0-1:1-0:2-1:0-2:1-2:2-0
Clermont v Lorient,X,fr,273,1-1:2-1:0-1:0-0:0-2:1-0:1-2:1-3:3-1:3-2
Metz v Lens,X,fr,276,1-1:0-1:1-0:2-1:0-0:0-2:1-2:1-3
Strasbourg v Monaco,X,fr,279,1-1:0-1:2-1:0-0:0-2:1-0:1-2:2-0:2-3:2-4:3-2
Lyon v Rennes,X,fr,275,2-0:1-1:1-2:3-0:3-1:0-0:0-1:1-0:2-1:2-2:2-3:4-1:4-2
Brest v Marseille,2,fr,272,1-3:0-1:1-1:1-2:0-3:2-1:0-0:1-0:2-2:3-3
Augsburg v Mainz,X,de,231,2-1:1-1:1-0:0-1:1-2:0-0:2-0:0-2:1-3:2-2:3-0:3-1:3-2
Freiburg v Wolfsburg,X,de,232,1-2:1-1:2-1:1-0:0-1:2-0:2-2:1-3:3-1:0-2:0-3
Hoffenheim v Bayern Munich,2,de,234,1-2:1-3:2-2:0-2:0-1:1-1:1-0:0-3:1-4:2-0:2-3:3-2
Union Berlin v Stuttgart,X,de,226,1-1:2-0:2-1:1-2:0-1:1-0:1-3:0-0:0-2:0-3:3-0:3-3
B Mgladbach v Hertha Berlin,10,de,229,2-1:1-0:2-0:3-1:1-1:0-1:1-2:1-3:2-2:3-2:4-0:4-2
B Leverkusen v Köln,10,de,227,2-0:2-1:1-0:1-1:0-1:1-2:3-0:3-1:0-0:3-2:4-2
B Dortmund v Arminia Bielefeld,10,de,228,3-0:2-0:3-1:1-0:2-1:4-0:1-1:4-1:0-1:1-2:5-1:6-1
Frankfurt v VfL Bochum,X,de,230,1-1:2-0:2-1:1-0:0-1:3-0:0-2:0-3:1-3:2-2:3-1:3-3:3-4
Fürth v RB Leipzig,21,de,233,1-2:0-2:1-3:0-3:1-0:1-1:1-4:0-0:0-1:0-4:2-0:2-3:3-1
Olympiakos v Asteras Tripolis,10,gr,117,2-0:2-1:3-0:1-0:3-1:1-1
AEK Athens v PAOK Salonika,0,gr,113,1-1:2-1:1-0:2-0:1-2:0-1:2-2:0-0:3-0
Atromitos Athens v Volos NFC,0,gr,108,1-1:1-0:2-1:2-0:0-2:0-1:1-2:0-0
AEK Athens v Asteras Tripolis,10,gr,176,2-1:2-0:1-0:1-1:3-1:3-0:1-2
Aris v Olympiakos,2,gr,177,1-1:0-2:1-2:1-0:0-1:1-3:0-0:2-2:2-1
Atromitos Athens v Panathinaikos,2,gr,178,0-2:1-2:1-1:0-1:1-0:1-3:2-2
Ionikos FC v Panetolikos,X,gr,179,1-1:2-1:1-0:0-1:1-2:2-0:0-0
Lamia v PAOK Salonika,21,gr,180,0-2:0-1:1-2:0-3:1-1:0-0
OFI v Apollon Smyrnis,10,gr,181,2-0:2-1:3-0:1-0:3-1:0-1:1-1
Volos NFC v PAS Giannina,X,gr,182,1-1:1-2:0-1:2-0:2-2:2-1:0-2:0-0:1-0
Salernitana v Sassuolo,2,it,285,0-2:1-1:0-1:1-3:2-0:1-2:0-0:0-3:1-0:1-4:2-1:2-2
Spezia v Cagliari,2,it,287,1-1:0-0:0-2:0-1:2-1:1-2:1-0:3-2
Sampdoria v Juventus,2,it,286,1-2:1-1:0-2:0-1:1-3:0-0:0-3:1-0:1-4:2-1:2-2
AC Milan v Empoli,10,it,284,2-0:3-0:2-1:4-0:1-0:3-1:0-1:0-2:1-1:3-2:5-1
Fiorentina v Bologna,0,it,282,2-1:2-0:1-1:1-0:0-2:3-1:0-0:2-2
Hellas Verona v Napoli,2,it,290,0-2:1-1:1-2:1-3:0-1:2-3:2-2:3-3
Atalanta v Genoa,10,it,281,2-0:2-1:1-0:3-0:0-1:3-1:4-0:1-1:2-2:2-3:3-2:5-1
Udinese v Roma,2,it,289,1-2:1-1:0-1:2-2:0-2:1-0:0-0:1-3:1-4:2-3
Torino v Inter Milan,2,it,288,1-2:1-3:0-1:0-2:1-1:2-2:0-0:0-3:1-0
Lazio v Venezia,10,it,283,2-0:2-1:1-0:3-1:0-0:3-0:1-1:3-2:4-0:5-0
Dundee Utd v Hearts,2,sc,175,1-2:1-1:0-1:0-2:2-1:1-0
Hibernian v St Johnstone,10,sc,176,2-1:2-0:1-0:1-1:0-1:1-2:3-1
Motherwell v Dundee,10,sc,178,2-0:2-1:1-0:1-1:1-2:0-0:3-0
Rangers v Aberdeen,10,sc,179,2-0:2-1:3-0:3-1:1-1:1-0
Ross County v St Mirren,X,sc,180,1-1:2-1:1-0:1-2:0-0:0-1:2-0
Livingston v Celtic,21,sc,177,1-2:0-2:1-1:1-3:0-1:0-3:0-0
Dundee v St Mirren,X,sc,141,1-1:1-2:0-1:2-1:1-0:0-2:2-0:0-0
Atl Madrid v Cádiz,10,es,271,2-0:1-0:3-0:2-1:1-1:3-1:0-0:0-1:0-2:1-3:5-0
Levante v Espanyol,X,es,275,1-1:1-0:0-1:1-2:2-0:2-2:0-0:0-2:1-3:2-1:2-4
Granada v Elche,X,es,274,1-0:2-0:0-1:1-1:0-0:0-2:1-3:2-1:3-0:3-2:4-2
Villarreal v Celta Vigo,X,es,280,1-1:2-0:2-1:1-0:0-1:0-2:3-1:0-0:1-3:3-2
