game,res,league,howmany,scores
Birmingham v Sunderland,0,en2,230,2-1:1-1:2-0:1-0:1-2:0-1:0-2:2-2
Bristol City v Watford,21,en2,231,1-2:0-2:1-1:2-1:0-1:2-2:1-3
Cardiff v Sheff Utd,21,en2,233,1-2:0-2:1-1:0-1:2-1:1-3
Coventry v QPR,X,en2,234,1-1:2-1:1-2:1-0:2-0:2-2:0-1:0-2
Huddersfield v Swansea,X,en2,235,1-1:1-2:0-1:2-1:1-0:0-2:2-0:2-2
Hull v Reading,X,en2,236,2-1:1-1:1-0:1-2:2-0:0-1:0-2:1-3:2-2:0-0
Luton v Rotherham,10,en2,237,2-0:2-1:1-1:1-0:1-2:0-1
Norwich v Middlesbrough,10,en2,238,2-1:2-0:1-1:3-1:1-0:1-2:2-2:3-0:0-1
Preston v Millwall,0,en2,239,1-0:2-1:1-1:2-0:1-2:0-1
West Brom v Stoke,X,en2,240,2-1:1-1:2-0:1-0:1-2:0-1:3-1:0-2
Wigan v Blackpool,X,en2,241,1-1:2-1:1-2:0-1:1-0:2-0:0-0:0-2:2-2
Burnley v Blackburn,0,en2,232,2-1:2-0:1-1:1-0:2-2:1-2:3-1:0-1
Sunderland v Millwall,0,en2,95,2-1:1-0:1-1:2-0:1-2:0-1
Brentford v Tottenham,X,en,163,1-2:2-1:1-1:0-2:1-3:2-2:0-1:1-0
Crystal Palace v Fulham,0,en,165,1-1:2-1:1-0:1-2:2-0:2-2
Everton v Wolves,0,en,166,1-0:2-1:1-1:2-0:0-1:1-2:0-0
Leicester v Newcastle,X,en,168,1-2:1-1:2-1:2-2:1-3:0-2:0-1:1-0
Southampton v Brighton,X,en,170,1-1:1-2:0-1:2-1:0-2:1-0:2-2:0-0
Aston Villa v Liverpool,21,en,162,1-2:1-3:0-2:1-1:2-1:0-3:0-1
Arsenal v West Ham,10,en,161,2-0:2-1:3-1:3-0:1-0:1-1
Chelsea v Bournemouth,10,en,164,2-0:2-1:3-0:1-0:3-1:1-1
Man Utd v Nottm Forest,10,en,169,2-0:2-1:3-0:1-0:3-1:1-1:4-0
Leeds v Man City,21,en,167,1-3:1-2:0-3:0-2:1-4:0-4:1-1:2-3
