game,res,league,howmany,scores
West Brom v Burnley,X,en2,85,1-1:1-2:2-1:2-2:1-0:0-1:2-0
Blackburn v Bristol City,10,en2,74,2-1:2-0:1-1:1-0:1-2:2-2:3-1
Luton v Wigan,0,en2,77,1-0:1-1:2-0:2-1:1-2:0-1:3-1
Millwall v Cardiff,0,en2,79,1-1:2-1:1-0:2-0:1-2:0-0:0-1:0-2
Norwich v Coventry,10,en2,80,2-0:2-1:3-0:3-1:1-0:4-0
Preston v Birmingham,X,en2,81,1-0:2-1:2-0:1-1:0-0:0-1:1-2:0-2
Rotherham v Watford,2,en2,83,1-2:0-2:1-1:1-3:0-1:2-1:1-0
Swansea v QPR,X,en2,84,1-2:1-1:2-1:2-2:0-2:0-1:1-0:2-0:1-3
Reading v Stoke,X,en2,82,1-1:2-1:1-0:1-2:2-0:0-1:0-2
Huddersfield v Blackpool,X,en2,75,2-1:1-1:2-0:1-0:0-1:1-2:0-0:2-2:3-1
Hull v Sheff Utd,2,en2,76,1-2:1-1:0-2:0-1:1-3:2-1:1-0
Middlesbrough v Sunderland,X,en2,78,1-1:2-1:2-2:1-2:1-0:2-0:0-1
Fulham v Chelsea,2,en,64,1-2:0-2:1-1:1-3:2-1:2-2:0-1
Bournemouth v Brighton,2,en,62,1-2:1-1:0-2:0-1:2-1:1-0:1-3
Leicester v Aston Villa,X,en,66,1-1:2-1:1-2:1-0:2-2:0-1:2-0:0-0
Liverpool v Wolves,10,en,67,2-0:3-0:2-1:3-1:1-0:1-1:4-0
Southampton v Brentford,X,en,69,1-1:2-1:1-2:1-0:2-2:2-0:0-1
Man City v Tottenham,0,en,68,2-1:3-1:2-2:3-2:1-1:2-0:1-2
Arsenal v Everton,10,en,61,2-0:2-1:3-0:3-1:1-0:1-1
West Ham v Newcastle,X,en,70,1-1:1-2:2-1:2-2:1-0:2-0:0-1
Crystal Palace v Man Utd,X,en,63,1-2:1-1:2-1:0-2:0-1:1-3:2-2:1-0
Leeds v Nottm Forest,0,en,65,2-1:2-0:1-1:1-0:1-2:2-2:3-1
Middlesbrough v Chelsea,21,enf,207,1-2:1-3:0-2:0-3:0-1:2-1
Crystal Palace v Everton,1,enf,206,2-1:2-0:1-2:1-0:0-1:1-1:3-1
Southampton v Man City,21,enf,208,1-2:1-3:0-2:0-3:0-1:1-0:2-1
Nottm Forest v Liverpool,21,enf,209,0-2:1-3:1-2:0-3:0-4:0-1:1-4
Man City v Liverpool,X,enf,211,2-1:1-2:1-1:2-2:2-3:1-0:3-1
Chelsea v Crystal Palace,10,enf,210,2-1:2-0:3-1:1-0:1-2:3-0
Chelsea v Liverpool,1,enf,212,1-2:1-3:2-1:0-2:1-1:1-0:3-1
Auxerre v Marseille,21,fr,52,1-2:0-2:0-1:1-3:1-1:1-0:2-1
Lyon v Angers,10,fr,55,2-0:2-1:3-1:0-1:3-0:4-1
Nantes v PSG,21,fr,57,1-3:1-2:0-3:0-2:0-4:1-1:1-4
