game,res,league,howmany,scores
Coventry v Peterborough,10,en2,102,2-1:2-0:1-0:1-1:1-2
West Brom v QPR,0,en2,108,2-1:2-0:1-1:3-1:1-2:2-2:1-0
Reading v Middlesbrough,0,en2,104,2-1:1-1:1-0:2-0:2-2:1-2:0-0
Birmingham v Preston,0,en2,97,1-1:2-1:1-0:2-0:1-2
Blackburn v Cardiff,X,en2,98,2-1:1-1:2-0:1-2:1-0:0-2:2-2:0-0
Blackpool v Barnsley,X,en2,99,1-1:1-2:2-1:1-0:0-1:0-2:2-2:2-0:3-2
Bournemouth v Luton,10,en2,100,2-0:2-1:3-0:3-1:1-0:1-1
Bristol City v Fulham,2,en2,101,1-2:1-1:0-2:1-3:0-1:2-1:2-2:1-0
Nottm Forest v Millwall,X,en2,103,1-1:2-1:1-0:2-0:1-2:0-0:0-1
Sheff Utd v Derby,10,en2,105,2-1:2-0:1-1:3-0:1-2:1-0:2-2:0-0:0-1:3-1
Stoke v Hull,10,en2,106,2-0:2-1:1-0:1-1:1-2:3-0
Swansea v Huddersfield,X,en2,107,2-1:1-1:2-0:1-0:1-2:0-1:2-2
Chelsea v Man City,0,en,53,2-1:1-1:2-2:2-0:1-2:1-0
Man Utd v Aston Villa,10,en,58,2-0:2-1:3-1:3-0
Everton v Norwich,10,en,55,2-0:1-0:2-1:3-0:3-1:1-1
Leeds v West Ham,X,en,56,1-2:1-1:2-1:2-2:1-3:0-2
Leicester v Burnley,10,en,57,2-0:2-1:1-0:1-1:3-1:3-0
Watford v Newcastle,X,en,60,1-1:2-1:1-2:1-0:2-0:0-1:0-0:2-2
Brentford v Liverpool,21,en,52,0-2:1-3:1-2:0-3:1-1:0-4:0-1
Southampton v Wolves,0,en,59,1-1:2-1:1-0:2-0:1-2:0-0:0-1
Arsenal v Tottenham,X,en,51,1-1:1-2:2-1:2-2:1-0:0-2:0-0
Crystal Palace v Brighton,X,en,54,1-1:2-1:1-2:1-0:2-0:2-2:0-1:0-0
Bournemouth v Southampton,1,enf,117,1-2:0-2:2-1:1-1:0-1:1-3:1-0
Everton v Man City,21,enf,119,1-3:1-2:0-2:2-1:1-0
Chelsea v Sheff Utd,10,enf,118,2-0:3-0:2-1:4-0:3-1:1-0
Leicester v Man Utd,1,enf,120,1-2:2-1:1-1:1-3:1-0:0-1:2-0:2-2:2-3
Chelsea v Man City,1,enf,121,1-2:1-3:2-1:1-1:0-1:0-2:1-0
Leicester v Southampton,10,enf,122,2-0:2-1:3-1:3-0:1-0
Chelsea v Leicester,1,enf,123,2-1:1-2:3-1:2-0:0-1:1-0:1-1:2-2
Lille v Reims,0,fr,63,2-1:1-0:2-0:1-1:1-2:3-1:0-0:0-1
Monaco v Saint-Étienne,10,fr,67,2-1:2-0:1-0:1-1:0-1:1-2:3-0
Montpellier v Bordeaux,0,fr,68,2-1:1-1:1-0:0-2:2-0:2-2:0-0:3-1:1-2:3-2
Nantes v Brest,0,fr,69,2-0:2-1:1-0:1-1:0-0:3-1:0-1:1-2:2-2:3-0
Rennes v Clermont,1,fr,70,2-0:2-1:1-0:1-1:1-2:3-1:0-1:0-2
Angers v Marseille,2,fr,61,1-2:0-2:1-1:1-3:0-1:2-1:1-0
Lens v Strasbourg,0,fr,62,2-1:1-1:2-0:1-0:1-2:3-1:0-1:1-3
Lorient v Nice,2,fr,64,1-2:1-1:0-1:0-0:0-2:1-3:1-0:2-1:2-2
Lyon v Troyes,10,fr,65,2-0:2-1:3-0:3-1:1-0:1-1:0-1:1-2
Metz v PSG,21,fr,66,0-3:1-3:0-2:0-1:1-4:1-2:0-4
SpVgg Greuther Fürth v Bayern Munich,21,de,52,0-4:0-2:0-3:0-5:1-3:0-6:1-2:0-1:1-0:1-4:1-6
B Leverkusen v Mainz,10,de,47,2-0:2-1:1-1:3-1:3-0:1-0:3-2:0-1:1-2
Frankfurt v Köln,X,de,49,1-1:2-1:1-0:1-2:2-0:3-1:0-1:2-2
Hoffenheim v Wolfsburg,2,de,53,1-2:1-1:0-1:0-2:1-3:0-0:1-0:2-1:2-2:3-1
RB Leipzig v Hertha Berlin,10,de,50,2-0:2-1:3-1:1-1:1-0:3-0:4-1:0-1
Union Berlin v Arminia Bielefeld,10,de,46,1-0:2-1:2-0:1-1:1-2:3-1:0-1:0-2:2-2:3-0
B Mgladbach v B Dortmund,2,de,48,1-2:1-3:1-1:2-3:2-2:1-0:0-1:0-2:2-1
VfL Bochum 1848 v Stuttgart,2,de,54,1-2:1-1:0-2:0-1:1-0:2-1:2-2:0-0
Freiburg v Augsburg,0,de,51,1-1:1-0:2-0:2-1:1-2:3-1:0-0:0-1:0-2:2-2:3-0
OFI v Asteras Tripolis,0,gr,18,2-1:1-1:1-0:0-1:1-2:2-0:0-0:2-2
Olympiakos v Apollon Smyrnis,10,gr,19,3-0:2-0:4-0:3-1:2-1:4-1
Panetolikos v PAOK Salonika,21,gr,20,0-2:1-2:0-1:1-1:1-3
AEK Athens v Lamia,10,gr,15,2-0:3-1:2-1:3-0:1-0:4-0:4-1
Aris v Panathinaikos,2,gr,16,1-1:1-2:0-0:0-1:2-1:2-2:1-0:0-2
Ionikos FC v PAS Giannina,2,gr,17,1-1:0-0:0-1:1-2:1-0:0-2
Volos NFC v Atromitos Athens,X,gr,21,2-1:1-1:0-0:1-2:0-1:1-0:2-0
Panathinaikos v Volos NFC,10,gr,26,2-0:1-0:2-1:1-1:3-1:1-2:3-0
Lamia v Panetolikos,0,gr,25,1-0:1-1:0-0:2-1:2-0:0-1:1-2:2-2:3-0
Asteras Tripolis v Olympiakos,21,gr,23,0-2:1-2:0-1:1-3:1-1:1-0:2-2
PAOK Salonika v AEK Athens,0,gr,27,2-1:1-1:2-2:1-0:0-0:1-3:2-0:0-1
