game,res,league,howmany,scores
Sheff Wed v Southampton,X,en2,1,1-2:0-2:1-1:1-0:2-1:0-1:2-0:2-2:2-4:CorrectResultBonus(+2points)
Blackburn v West Brom,X,en2,2,1-1:2-1:1-0:1-2:0-1:2-0:0-0:0-2:1-3:2-2:CorrectResultBonus(+2points)
Bristol City v Preston,X,en2,3,1-0:1-1:2-1:1-2:2-0:0-1:0-0:2-2:3-1:CorrectResultBonus(+2points)
Middlesbrough v Millwall,10,en2,4,2-0:2-1:1-0:1-1:3-0:0-0:0-1:1-3:2-2:3-1:CorrectResultBonus(+2points)
Norwich v Hull,10,en2,5,2-1:2-0:1-0:3-1:1-2:0-0:0-1:1-1:2-2:4-1:CorrectResultBonus(+2points)
Plymouth v Huddersfield,X,en2,6,1-2:1-1:0-1:2-1:0-0:1-0:1-3:0-2:2-0:2-2:CorrectResultBonus(+2points)
Stoke v Rotherham,10,en2,7,2-0:1-0:2-1:0-1:1-1:1-2:0-0:3-1:3-2:CorrectResultBonus(+2points)
Swansea v Birmingham,1,en2,8,2-1:1-0:0-1:1-2:0-0:1-1:2-0:3-4:2-2:3-0:CorrectResultBonus(+2points)
Watford v QPR,0,en2,9,1-0:2-0:2-1:1-1:0-1:3-1:0-0:2-2:4-0:CorrectResultBonus(+2points)
Leicester v Coventry,10,en2,10,2-0:3-1:2-1:0-1:1-1:3-0:1-3:2-2:4-2::CorrectResultBonus(+2points)
Leeds v Cardiff,10,en2,11,2-1:1-0:2-0:3-0:1-1:0-1:2-2:3-1:4-0:6-2::CorrectResultBonus(+2points)
Sunderland v Ipswich,0,en2,12,2-1:1-1:2-0:0-1:3-0:3-1:1-2:2-2:4-1::CorrectResultBonus(+2points)
Burnley v Man City,21,en,1,1-3:0-3:0-2:1-2:1-4:0-4
Arsenal v Nottm Forest,10,en,2,2-0:3-0:2-1:3-1:4-0
Bournemouth v West Ham,2,en,3,1-1:1-2:2-1:0-1:0-0:1-0
Brighton v Luton,10,en,4,2-0:3-0:2-1:1-0:3-1:1-1
Everton v Fulham,X,en,5,1-1:2-1:1-2:1-0:2-0:2-2:0-0:0-1
Sheff Utd v Crystal Palace,X,en,6,1-1:1-2:2-1:0-0:0-1:1-0:0-2
Newcastle v Aston Villa,10,en,7,2-1:2-0:3-1:1-1:1-0:3-2:2-2
Brentford v Tottenham,X,en,8,1-1:1-2:2-1:2-2:0-2:1-3:0-1:1-0
Chelsea v Liverpool,X,en,9,1-2:1-1:2-1:2-2:1-3:0-0:1-0
Man Utd v Wolves,10,en,10,2-0:3-0:2-1:3-1:1-0:1-1
