game,res,league,howmany,scores
West Brom v Burnley,X,en2,85,1-1:1-2:2-1:2-2:1-0:0-1:2-0
Blackburn v Bristol City,10,en2,74,2-1:2-0:1-1:1-0:1-2
Luton v Wigan,0,en2,77,1-0:1-1:2-1:2-0:0-1:1-2:3-1
Millwall v Cardiff,0,en2,79,1-1:2-1:1-0:2-0:0-1:0-0:1-2
Norwich v Coventry,10,en2,80,2-0:2-1:3-1:3-0:1-0
Preston v Birmingham,0,en2,81,1-0:2-1:2-0:1-1:0-0:0-1:1-2
Rotherham v Watford,2,en2,83,1-2:0-2:1-1:0-1:1-3:2-1:2-2
Swansea v QPR,X,en2,84,1-2:1-1:2-1:2-2:0-1:1-0:0-2:2-0
Reading v Stoke,X,en2,82,1-1:2-1:1-0:2-0:1-2:0-1:0-2
Huddersfield v Blackpool,X,en2,75,2-1:1-1:2-0:1-0:0-1:1-2:0-0:2-2:3-1
Hull v Sheff Utd,2,en2,76,1-2:1-1:1-3:0-1:0-2:2-1:2-3:2-2
Middlesbrough v Sunderland,X,en2,78,1-1:2-1:2-2:1-2:1-0:0-1:2-0
Everton v Liverpool,21,en,55,1-2:0-2:1-3:0-3:1-1:0-1
Brentford v Leeds,X,en,52,1-1:2-1:1-2:2-2:1-0:2-0:0-1
Chelsea v West Ham,0,en,54,2-1:2-0:1-1:3-1:1-0:2-2:1-2:3-0
Newcastle v Crystal Palace,0,en,57,2-1:2-0:1-1:1-0:3-1:2-2:1-2
Nottm Forest v Bournemouth,0,en,58,2-0:1-0:2-1:1-1:0-0:0-1:3-1
Tottenham v Fulham,10,en,59,2-1:2-0:3-1:3-0:1-1:1-0:2-2
Wolves v Southampton,X,en,60,1-1:1-0:1-2:2-1:0-0:0-1:2-0:0-2:2-2
Aston Villa v Man City,21,en,51,0-3:1-3:0-4:1-4:0-2:0-5:1-2
Brighton v Leicester,10,en,53,2-1:2-0:1-0:1-1:1-2:3-1
Man Utd v Arsenal,X,en,56,1-2:1-1:2-2:2-1:1-3:1-0
Middlesbrough v Chelsea,21,enf,207,1-2:1-3:0-2:0-3:0-1:2-1
