game,res,league,howmany,scores
Sheff Wed v Nottm Forest,X,en2,538,1-1:2-1:1-0:1-2:0-1:0-2:2-0
Birmingham v Cardiff,X,en2,530,1-1:2-1:1-2:1-0:2-0:0-2
Brentford v Watford,X,en2,531,1-1:2-1:1-2:2-0:2-2:1-0
Huddersfield v Coventry,0,en2,532,1-1:1-0:2-1:1-2:2-0
Luton v Middlesbrough,X,en2,533,1-1:2-1:1-2:1-0:2-0:0-1
Millwall v Bristol City,0,en2,534,2-1:1-1:2-0:1-0:1-2:0-0:0-1:3-0
Norwich v Reading,10,en2,535,2-0:1-1:2-1:3-1:1-0:3-0
Preston v Barnsley,X,en2,536,1-2:1-1:2-1:0-1:1-0:2-0
Rotherham v Blackburn,X,en2,537,1-1:1-2:0-1:2-0:2-1:0-2:1-0:2-2
Stoke v QPR,X,en2,539,2-1:1-1:1-0:1-2:2-0:0-0:2-2:0-1
Swansea v Derby,10,en2,540,2-0:2-1:1-1:3-1:3-0:1-0
Wycombe v Bournemouth,21,en2,541,1-2:0-2:1-3:1-1:0-3:1-0
Luton v Rotherham,10,en2,306,2-1:1-0:2-0:1-1:1-2:0-1:3-1
Southampton v Leicester,21,en,338,1-2:1-1:0-2:1-3:2-1:0-1:2-2
Crystal Palace v Man City,21,en,334,0-2:0-3:1-3:1-2:1-1:0-1:0-4:1-4
Brighton v Leeds,X,en,331,1-1:1-2:2-1:0-1:1-0:0-2:1-3:2-2
Chelsea v Fulham,10,en,333,2-0:2-1:3-0:3-1:1-0:1-1
Everton v Aston Villa,0,en,335,2-1:1-1:2-0:1-0:2-2:1-2
Newcastle v Arsenal,X,en,337,1-1:1-2:2-1:1-0:0-1:0-2:2-2:1-3
Man Utd v Liverpool,X,en,336,2-1:1-1:2-2:1-2:0-0:2-0:1-0
Tottenham v Sheff Utd,10,en,339,2-0:3-0:2-1:1-0:3-1:1-1:4-0
West Brom v Wolves,X,en,340,1-1:2-1:1-2:1-0:2-0:0-1:2-2:0-0
Burnley v West Ham,X,en,332,1-2:1-1:2-1:0-2:1-0:2-2:0-1:1-3
Bournemouth v Southampton,1,enf,117,1-2:0-2:2-1:1-1:0-1:1-3:1-0
Everton v Man City,21,enf,119,1-3:1-2:0-2:2-1:1-0
Chelsea v Sheff Utd,10,enf,118,2-0:3-0:2-1:4-0:3-1:1-0
Leicester v Man Utd,1,enf,120,1-2:2-1:1-1:1-3:1-0:0-1:2-0:2-2:2-3
Chelsea v Man City,1,enf,121,1-2:1-3:2-1:1-1:0-1:0-2:1-0
